Default time range,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
"(50, 150)",Decision Tree,0.19995018591525965,0.23131694987440135,0.6295156124782352,0.66243436064991557,0.15146439073669826,0.5054453068950978,0.7535859180613729,0.24641408193862713,0.494554693104902,0.07568763213421624,0.024295455715080582,0.04710957030905945,0.04205538808681372,0.053242793912942114,0.10978011047564287,0.09738980804572653,
"(100, 200)",Decision Tree,0.17485478600319104,0.24448311949563503,0.6128441051866318,0.64464989922455584,0.1378449563868227,0.514028562850684,0.7116596475225799,0.28834035247742007,0.48597143714931595,0.07833174095488757,0.023171726413767902,0.04678965429137907,0.042274478514490045,0.0518426887217511,0.0958211130814122,0.1012765792822141,
"(200, 1000)",Decision Tree,0.15989115427455056,0.25502698220783848,0.59586015950047,0.62017537141632251,0.1068990437961779,0.4873111814549835,0.7044091375459567,0.29559086245404326,0.5126888185450165,0.09607211282700237,0.03619565707004113,0.05714570163199748,0.056336084455564234,0.060860384204728155,0.13360663470416168,0.1316060191399325,
"(0, 30)",Extreme Learning Machine,0.29643611278326371,0.177812562026953,0.6588061297000656,0.68729705787234407,0.20074148250157292,0.4841125044006751,0.8334997549994553,0.16650024500054492,0.5158874955993249,0.04540908432333736,0.01175757456510803,0.022172632923472903,0.025252136945478044,0.03609416377089975,0.03681577779895273,0.02738187565210191,
"(0, 60)",Extreme Learning Machine,0.29246606137930237,0.16872721425691778,0.6550938813011931,0.68712694290032716,0.1956760398189778,0.46109489231824485,0.8490928702841412,0.15090712971585876,0.538905107681755,0.03879889235825285,0.009789790387564064,0.01901806961519465,0.023129075781249602,0.033153468168886494,0.033641055014484854,0.02262479883688616,
"(0, 100)",Extreme Learning Machine,0.23524699821156322,0.17834531914798632,0.6437076117583781,0.68946991335568197,0.1739954396041783,0.48904757273262006,0.798367650784137,0.20163234921586337,0.5109524272673801,0.04234711099841279,0.010292364031845466,0.02470823969919278,0.029052258129087547,0.036293359307511194,0.04700280086864401,0.028424463326210684,
"(0, 200)",Extreme Learning Machine,0.14361627746797606,0.181194375462399,0.6208958688019852,0.64561425061687527,0.16945256220266572,0.460611662252529,0.7811800753514412,0.21881992464855873,0.5393883377474712,0.033780630230291875,0.010546078395796,0.028023179281335946,0.0519347682858909,0.0496807360380707,0.05590868637671948,0.026300129934382396,
"(0, 300)",Extreme Learning Machine,0.10681445834122244,0.18005987242112795,0.6067878121664876,0.6526860196599743,0.16979100888422705,0.4363830061243105,0.7771926182086653,0.22280738179133472,0.5636169938756894,0.035000968828977755,0.010034544733838135,0.03565506895599886,0.06222766731512485,0.058170391652316945,0.0776097941928369,0.0264923925701941,
"(50, 150)",Extreme Learning Machine,0.26530671738491746,0.18826349984080462,0.6805829677786255,0.72244937860796188,0.2451810959392402,0.6047420420437841,0.7564238935134661,0.24357610648653374,0.39525795795621554,0.034134887347847385,0.010534855798940713,0.022599358977097445,0.03100163554309805,0.03992254273074911,0.04840052424540955,0.028616863088062425,
"(100, 200)",Extreme Learning Machine,0.25795527976324623,0.19599198714663635,0.6692087520982019,0.70014794861303631,0.22758638013891144,0.5824747870555995,0.7559427171408036,0.24405728285919642,0.41752521294440037,0.03669936931131495,0.010838823859026818,0.022597083356093242,0.027569625248530877,0.038050348269948076,0.041752027313025936,0.030690452854142472,
"(200, 1000)",Extreme Learning Machine,0.21424826357383261,0.19327791947860143,0.6295292214991904,0.66542707719732774,0.14041722116013625,0.48661783273213055,0.7724406102662504,0.22755938973374934,0.5133821672678693,0.05146880142844821,0.011988725773488057,0.03203429299446292,0.03551173055918215,0.0405726725160463,0.06945198666078492,0.032188369443312034,
"(0, 30)",Gaussian Naive Bayes,0.05943666374902018,0.70708217198486767,0.5254331761142249,0.69994597601931718,0.22304475166141757,0.9103361036512861,0.14053024857716387,0.8594697514228358,0.08966389634871465,0.06942235655436578,0.07533535423163369,0.03532724488412503,0.04309484829968737,0.04248775935734481,0.06618256459222394,0.08347145765923619,
"(0, 60)",Gaussian Naive Bayes,0.086595307188211235,0.64827293937527697,0.5469662637673038,0.69763717560461969,0.19678226638640875,0.8814293366499674,0.21250319088464095,0.7874968091153588,0.11857066335003254,0.09535407834345112,0.1415626273509664,0.05752697069525937,0.046196290758783544,0.04381576882816759,0.09341823023517522,0.1596638033048947,
"(0, 100)",Gaussian Naive Bayes,0.14467776996432691,0.45860457105259106,0.5916793196380562,0.68394329874909632,0.1742142628872884,0.7214090080272169,0.4619496312488957,0.5380503687511043,0.27859099197278303,0.12203816957109559,0.21738403641930265,0.07464177346192159,0.057815860651136884,0.047599133334959035,0.18327361648369198,0.29054664309328543,
