activation,hidden_layer_sizes,max_iter,solver,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
identity,"(50, 50)",1000,adam,InstanceHardnessThreshold,0.6767460317460318,0.8744444444444445,0.4790476190476191,0.520952380952381,0.12555555555555556,0.8433333333333334,0.4157142857142857,0.4595238095238095,0.08444444444444443,0.08444444444444443
identity,"(50, 50)",1000,adam,NearMiss,0.6776190476190477,0.7333333333333334,0.6219047619047618,0.3780952380952381,0.26666666666666666,0.5788888888888889,0.47380952380952385,0.25142857142857145,0.13333333333333333,0.13333333333333333
identity,"(5,)",1000,sgd,RandomOverSampler,0.711031746031746,0.7111111111111111,0.710952380952381,0.28904761904761905,0.2888888888888889,0.45555555555555555,0.47523809523809524,0.1119047619047619,0.11333333333333333,0.11333333333333333
identity,"(50, 50)",1000,sgd,InstanceHardnessThreshold,0.6857142857142858,0.8766666666666666,0.49476190476190474,0.5052380952380952,0.12333333333333334,0.82,0.4076190476190476,0.4271428571428571,0.08,0.08
identity,"(50, 50)",1000,adam,NeighbourhoodCleaningRule,0.7152380952380953,0.7066666666666667,0.7238095238095239,0.27619047619047615,0.29333333333333333,0.5377777777777778,0.5923809523809523,0.16476190476190475,0.17222222222222225,0.17222222222222225
identity,"(100,)",1000,lbgfs,InstanceHardnessThreshold,0.6783333333333333,0.87,0.48666666666666664,0.5133333333333333,0.13,0.8466666666666667,0.44476190476190475,0.46523809523809523,0.10444444444444445,0.10444444444444445
identity,"(50, 50)",1000,adam,OneSidedSelection,0.6829365079365081,0.5277777777777778,0.8380952380952381,0.1619047619047619,0.4722222222222223,0.31888888888888883,0.689047619047619,0.056190476190476187,0.2611111111111111,0.2611111111111111
identity,"(100,)",1000,lbgfs,NearMiss,0.6792857142857143,0.7366666666666667,0.621904761904762,0.3780952380952381,0.26333333333333336,0.5888888888888889,0.4790476190476191,0.2671428571428571,0.14222222222222222,0.14222222222222222
identity,"(50, 50)",1000,adam,RandomUnderSampler,0.712936507936508,0.7411111111111112,0.6847619047619048,0.31523809523809526,0.2588888888888889,0.5355555555555556,0.49333333333333335,0.1719047619047619,0.12777777777777777,0.12777777777777777
identity,"(100,)",1000,lbgfs,NeighbourhoodCleaningRule,0.7146825396825397,0.708888888888889,0.7204761904761905,0.27952380952380956,0.29111111111111115,0.5566666666666666,0.5938095238095239,0.16714285714285715,0.17888888888888888,0.17888888888888888
identity,"(5,)",1000,sgd,SMOTE,0.7174603174603176,0.7144444444444445,0.7204761904761906,0.2795238095238095,0.28555555555555556,0.47222222222222227,0.5176190476190478,0.12666666666666668,0.13222222222222224,0.13222222222222224
identity,"(50, 50)",1000,adam,TomekLinks,0.6808730158730159,0.5255555555555556,0.8361904761904763,0.16380952380952382,0.47444444444444445,0.32444444444444437,0.6904761904761906,0.057619047619047625,0.25555555555555554,0.25555555555555554
identity,"(100,)",1000,lbgfs,OneSidedSelection,0.6830158730158731,0.5322222222222223,0.8338095238095238,0.1661904761904762,0.4677777777777778,0.3266666666666666,0.69,0.05904761904761905,0.27,0.27
identity,"(50, 50)",1000,adam,ADASYN,0.7138095238095238,0.71,0.7176190476190477,0.2823809523809524,0.29000000000000004,0.4466666666666667,0.5066666666666667,0.1323809523809524,0.12,0.12
identity,"(50, 50)",1000,sgd,NearMiss,0.6786507936507936,0.7311111111111112,0.6261904761904762,0.3738095238095238,0.2688888888888889,0.5533333333333335,0.4380952380952381,0.2280952380952381,0.11111111111111112,0.11111111111111112
identity,"(100,)",1000,lbgfs,RandomUnderSampler,0.7077777777777777,0.7288888888888888,0.6866666666666666,0.3133333333333333,0.27111111111111114,0.5344444444444445,0.5033333333333333,0.18476190476190477,0.1411111111111111,0.1411111111111111
identity,"(50, 50)",1000,adam,RandomOverSampler,0.7077777777777777,0.6988888888888889,0.7166666666666668,0.2833333333333333,0.3011111111111111,0.47000000000000003,0.5357142857142858,0.1366666666666667,0.14777777777777776,0.14777777777777776
identity,"(100,)",1000,lbgfs,TomekLinks,0.6826984126984127,0.5311111111111111,0.8342857142857144,0.1657142857142857,0.4688888888888889,0.3233333333333333,0.6923809523809523,0.06047619047619048,0.2688888888888889,0.2688888888888889
identity,"(50, 50)",1000,adam,SMOTE,0.7116666666666668,0.6866666666666665,0.7366666666666667,0.26333333333333336,0.3133333333333333,0.4811111111111111,0.5647619047619048,0.1376190476190476,0.16888888888888887,0.16888888888888887
identity,"(5,)",1000,sgd,SMOTEENN,0.6874603174603174,0.5944444444444446,0.7804761904761904,0.21952380952380954,0.4055555555555556,0.39333333333333337,0.620952380952381,0.09571428571428571,0.21666666666666665,0.21666666666666665
identity,"(100,)",1000,lbgfs,ADASYN,0.7157142857142856,0.7066666666666667,0.7247619047619048,0.2752380952380952,0.29333333333333333,0.4488888888888889,0.5133333333333333,0.13047619047619044,0.12555555555555556,0.12555555555555556
identity,"(100,)",1000,lbgfs,RandomOverSampler,0.7069841269841269,0.6944444444444443,0.7195238095238095,0.2804761904761905,0.3055555555555556,0.4777777777777778,0.5376190476190477,0.14095238095238094,0.1511111111111111,0.1511111111111111
identity,"(50, 50)",1000,adam,SMOTEENN,0.6984126984126983,0.6077777777777778,0.789047619047619,0.21095238095238092,0.39222222222222225,0.41111111111111115,0.6533333333333333,0.1138095238095238,0.24666666666666667,0.24666666666666667
identity,"(50, 50)",1000,sgd,NeighbourhoodCleaningRule,0.7165079365079365,0.7044444444444444,0.7285714285714286,0.27142857142857146,0.29555555555555557,0.5177777777777779,0.5676190476190476,0.149047619047619,0.16222222222222224,0.16222222222222224
identity,"(100,)",1000,lbgfs,SMOTE,0.7083333333333334,0.69,0.7266666666666666,0.2733333333333333,0.31,0.49111111111111105,0.5619047619047618,0.14666666666666664,0.17,0.17
identity,"(50, 50)",1000,adam,SMOTETomek,0.7123809523809523,0.6966666666666667,0.728095238095238,0.2719047619047619,0.3033333333333333,0.49222222222222217,0.56,0.14,0.15888888888888889,0.15888888888888889
identity,"(100,)",1000,lbgfs,SMOTEENN,0.6928571428571427,0.5933333333333334,0.7923809523809524,0.2076190476190476,0.40666666666666657,0.41333333333333333,0.6590476190476191,0.12333333333333334,0.2544444444444444,0.2544444444444444
identity,"(5,)",1000,sgd,SMOTETomek,0.7208730158730159,0.7188888888888888,0.7228571428571429,0.27714285714285714,0.2811111111111111,0.47777777777777786,0.520952380952381,0.12523809523809523,0.1311111111111111,0.1311111111111111
identity,"(100,)",1000,adam,None,0.6719841269841269,0.4811111111111111,0.8628571428571429,0.13714285714285715,0.5188888888888888,0.22999999999999998,0.718095238095238,0.03619047619047619,0.2866666666666667,0.2866666666666667
identity,"(100,)",1000,lbgfs,SMOTETomek,0.7111111111111111,0.6922222222222221,0.7300000000000001,0.26999999999999996,0.30777777777777776,0.49000000000000005,0.5647619047619048,0.14476190476190476,0.17444444444444443,0.17444444444444443
identity,"(5, 5, 5)",1000,lbgfs,None,0.6726190476190476,0.48666666666666664,0.8585714285714285,0.14142857142857143,0.5133333333333333,0.24444444444444446,0.719047619047619,0.04238095238095238,0.2966666666666667,0.2966666666666667
identity,"(100,)",1000,sgd,None,0.6680158730158731,0.44555555555555565,0.8904761904761905,0.10952380952380954,0.5544444444444444,0.14333333333333334,0.7042857142857143,0.021428571428571432,0.27333333333333326,0.27333333333333326
identity,"(50, 50)",1000,sgd,OneSidedSelection,0.6854761904761905,0.52,0.8509523809523808,0.14904761904761907,0.48,0.24,0.6804761904761906,0.04285714285714285,0.2488888888888889,0.2488888888888889
identity,"(100,)",1000,adam,ClusterCentroids,0.6961904761904761,0.7033333333333333,0.689047619047619,0.3109523809523809,0.29666666666666663,0.49444444444444446,0.499047619047619,0.15190476190476188,0.13999999999999999,0.13999999999999999
