layers,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
"[(50, 'tanh'), (50, 'tanh')]",SMOTETomek,0.6733333333333333,0.64,0.7066666666666667,0.2933333333333334,0.36000000000000004,0.3477777777777778,0.4847619047619047,0.1257142857142857,0.15,0.15
"[(75, 'sigm'), (75, 'sigm')]",None,0.6485714285714287,0.46666666666666673,0.8304761904761904,0.16952380952380955,0.5333333333333333,0.2355555555555556,0.6171428571428571,0.052857142857142846,0.2544444444444445,0.2544444444444445
"[(50, 'rbf_l1'), (50, 'rbf_l1')]",ClusterCentroids,0.5511111111111111,0.34555555555555556,0.7566666666666667,0.24333333333333332,0.6544444444444445,0.01333333333333333,0.03380952380952381,0.0019047619047619048,0.008888888888888889,0.008888888888888889
"[(50, 'rbf_l1'), (50, 'rbf_l1')]",EditedNearestNeighbours,0.5496825396825397,0.3155555555555556,0.7838095238095238,0.21619047619047618,0.6844444444444445,0.022222222222222227,0.0480952380952381,0.006666666666666667,0.021111111111111112,0.021111111111111112
"[(50, 'rbf_l2'), (50, 'rbf_l2')]",ClusterCentroids,0.6523015873015873,0.7055555555555556,0.599047619047619,0.40095238095238095,0.29444444444444445,0.48,0.3609523809523809,0.19999999999999996,0.1366666666666667,0.1366666666666667
"[(50, 'rbf_l2'), (50, 'rbf_l2')]",EditedNearestNeighbours,0.6973809523809523,0.7233333333333333,0.6714285714285714,0.32857142857142857,0.27666666666666667,0.5155555555555557,0.4452380952380952,0.17190476190476192,0.13111111111111112,0.13111111111111112
"[(50, 'rbf_linf'), (50, 'rbf_linf')]",ClusterCentroids,0.620952380952381,0.7133333333333333,0.5285714285714287,0.47142857142857136,0.2866666666666666,0.4711111111111111,0.2680952380952381,0.22571428571428573,0.13,0.13
"[(75, 'sigm'), (75, 'sigm')]",ClusterCentroids,0.6436507936507936,0.6577777777777777,0.6295238095238095,0.37047619047619046,0.3422222222222222,0.4488888888888889,0.42857142857142855,0.19714285714285715,0.17555555555555555,0.17555555555555555
"[(50, 'rbf_linf'), (50, 'rbf_linf')]",EditedNearestNeighbours,0.6862698412698413,0.7144444444444445,0.6580952380952381,0.34190476190476193,0.28555555555555556,0.48666666666666664,0.440952380952381,0.16428571428571428,0.12555555555555556,0.12555555555555556
"[(75, 'sigm'), (75, 'sigm')]",EditedNearestNeighbours,0.6957936507936507,0.7277777777777779,0.6638095238095238,0.3361904761904762,0.2722222222222222,0.5055555555555556,0.46285714285714286,0.18952380952380954,0.13333333333333333,0.13333333333333333
"[(50, 'rbf_l1'), (50, 'rbf_l1')]",InstanceHardnessThreshold,0.5317460317460317,0.4377777777777778,0.6257142857142858,0.3742857142857143,0.5622222222222222,0.04,0.039047619047619046,0.010476190476190477,0.005555555555555554,0.005555555555555554
"[(50, 'rbf_l1'), (50, 'rbf_l1')]",NearMiss,0.5376190476190477,0.25666666666666665,0.8185714285714285,0.1814285714285714,0.7433333333333333,0.02666666666666667,0.05476190476190476,0.002857142857142857,0.011111111111111112,0.011111111111111112
"[(50, 'rbf_l2'), (50, 'rbf_l2')]",InstanceHardnessThreshold,0.7028571428571428,0.85,0.5557142857142857,0.44428571428571434,0.15,0.6733333333333333,0.3566666666666667,0.2742857142857143,0.05888888888888888,0.05888888888888888
"[(50, 'rbf_l2'), (50, 'rbf_l2')]",NearMiss,0.6545238095238095,0.6933333333333334,0.6157142857142857,0.38428571428571434,0.30666666666666664,0.4655555555555555,0.38619047619047614,0.20095238095238097,0.12,0.12
"[(50, 'rbf_l1'), (50, 'rbf_l1')]",NeighbourhoodCleaningRule,0.539047619047619,0.27999999999999997,0.7980952380952381,0.20190476190476192,0.7199999999999999,0.02333333333333333,0.047142857142857146,0.002380952380952381,0.02333333333333333,0.02333333333333333
"[(50, 'rbf_l2'), (50, 'rbf_l2')]",NeighbourhoodCleaningRule,0.7142857142857143,0.7066666666666667,0.7219047619047618,0.27809523809523806,0.29333333333333333,0.4388888888888889,0.489047619047619,0.12523809523809523,0.13666666666666663,0.13666666666666663
"[(50, 'rbf_linf'), (50, 'rbf_linf')]",InstanceHardnessThreshold,0.6841269841269842,0.8144444444444444,0.5538095238095239,0.44619047619047625,0.18555555555555556,0.6466666666666667,0.35761904761904767,0.2738095238095238,0.06888888888888889,0.06888888888888889
"[(50, 'rbf_l1'), (50, 'rbf_l1')]",OneSidedSelection,0.5105555555555555,0.031111111111111107,0.9900000000000001,0.01,0.9688888888888888,0.02,0.06523809523809523,0.0,0.03333333333333333,0.03333333333333333
"[(50, 'rbf_linf'), (50, 'rbf_linf')]",NearMiss,0.662063492063492,0.7188888888888889,0.6052380952380952,0.3947619047619047,0.28111111111111114,0.4611111111111111,0.39142857142857146,0.21476190476190474,0.12333333333333334,0.12333333333333334
"[(50, 'rbf_l1'), (50, 'rbf_l1')]",RandomUnderSampler,0.5326984126984127,0.451111111111111,0.6142857142857143,0.3857142857142857,0.548888888888889,0.025555555555555554,0.03333333333333333,0.0033333333333333335,0.006666666666666667,0.006666666666666667
"[(75, 'sigm'), (75, 'sigm')]",InstanceHardnessThreshold,0.6934920634920635,0.8255555555555555,0.5614285714285714,0.43857142857142856,0.1744444444444444,0.6555555555555556,0.37571428571428567,0.26619047619047614,0.06999999999999999,0.06999999999999999
