C,cache_size,class_weight,decision_function_shape,gamma,kernel,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
0.01,2048,,ovr,0.4211105263157895,rbf,OneSidedSelection,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4211105263157895,rbf,RandomUnderSampler,0.502063492063492,0.9988888888888888,0.005238095238095239,0.9947619047619046,0.0011111111111111111,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4737368421052632,rbf,OneSidedSelection,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3684842105263158,rbf,OneSidedSelection,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4737368421052632,rbf,RandomUnderSampler,0.5003968253968254,0.9988888888888888,0.0019047619047619048,0.998095238095238,0.0011111111111111111,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3684842105263158,rbf,RandomUnderSampler,0.5063492063492063,0.9955555555555556,0.017142857142857144,0.9828571428571428,0.0044444444444444444,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4211105263157895,rbf,TomekLinks,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.5263631578947369,rbf,OneSidedSelection,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.5263631578947369,rbf,RandomUnderSampler,0.49992063492063493,0.9988888888888888,0.0009523809523809524,0.9990476190476191,0.0011111111111111111,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4737368421052632,rbf,TomekLinks,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3684842105263158,rbf,TomekLinks,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4211105263157895,rbf,ADASYN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.5263631578947369,rbf,TomekLinks,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4737368421052632,rbf,ADASYN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3684842105263158,rbf,ADASYN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4211105263157895,rbf,RandomOverSampler,0.5011904761904762,0.0033333333333333327,0.9990476190476191,0.0009523809523809524,0.9966666666666667,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.5263631578947369,rbf,ADASYN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4737368421052632,rbf,RandomOverSampler,0.5008730158730158,0.0022222222222222222,0.9995238095238096,0.0004761904761904762,0.9977777777777778,0.0,0.0,0.0,0.0,0.0
