C,cache_size,class_weight,decision_function_shape,kernel,max_iter,Data balancer,Matthews correlation coefficient,Cohen Kappa Score,Balanced Accuracy,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff,
0.01,2048,balanced,ovr,linear,10000,RandomUnderSampler,0.376604984,0.375335253,0.683012111,0.548412829,0.817611393,0.182388607,0.451587171,0,0,0,0,0,27.8671186
0.01,2048,None,ovr,linear,10000,TomekLinks,0.393357032,0.369424609,0.666841,0.422916781,0.910765219,0.089234781,0.577083219,0,0,0,0,0,56.5278821
1.061578947,2048,None,ovr,linear,10000,ADASYN,0.483891389,0.449567326,0.75405546,0.866016052,0.642094868,0.357905132,0.133983948,0,0,0,0,0,102.6205878
0.01,2048,balanced,ovr,linear,10000,TomekLinks,0.40385927,0.403451329,0.698939831,0.585137172,0.81274249,0.18725751,0.414862828,0,0,0,0,0,68.78344123
0.535789474,2048,None,ovr,linear,10000,ADASYN,0.505574158,0.481080937,0.765976439,0.846239434,0.685713445,0.314286555,0.153760566,0,0,0,0,0,102.9560373
1.587368421,2048,None,ovr,linear,10000,ADASYN,0.412251454,0.346709142,0.708372426,0.911830694,0.504914158,0.495085842,0.088169306,0,0,0,0,0,97.99866621
1.587368421,2048,balanced,ovr,linear,10000,ADASYN,0.40722668,0.339359206,0.704702301,0.914228081,0.495176521,0.504823479,0.085771919,0,0,0,0,0,96.68795498
1.061578947,2048,balanced,ovr,linear,10000,ADASYN,0.48763286,0.459030046,0.756304945,0.849866642,0.662743247,0.337256753,0.150133358,0,0,0,0,0,95.74200471
0.535789474,2048,balanced,ovr,linear,10000,ADASYN,0.508875949,0.487873231,0.767613606,0.835755134,0.699472077,0.300527923,0.164244866,0,0,0,0,0,103.1207565
1.061578947,2048,None,ovr,linear,10000,RandomOverSampler,0.515202345,0.505105635,0.769059561,0.791745857,0.746373264,0.253626736,0.208254143,0,0,0,0,0,66.30315097
1.587368421,2048,None,ovr,linear,10000,RandomOverSampler,0.51293384,0.49938341,0.76872799,0.807276389,0.730179591,0.269820409,0.192723611,0,0,0,0,0,63.83123676
