algorithm,leaf_size,n_neighbors,p,weights,Data balancer,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff
auto,20,110,1,uniform,RandomUnderSampler,0.294468553,0.271359919,0.637288843,0.912235344,0.362342342,0.637657658,0.087764656,0.716486924,0.142475921,0.328888216,0.012303702,0.012303702
auto,20,110,1,distance,RandomUnderSampler,0.323740001,0.259034261,0.657647817,0.89569166,0.419603974,0.580396026,0.10430834,0.74775489,0.228114669,0.311105391,0.045797553,0.045797553
auto,20,110,2,uniform,InstanceHardnessThreshold,0.395341127,0.245259532,0.702794799,0.8761134,0.529476199,0.470523801,0.1238866,0.61701242,0.344865201,0.262943448,0.053062346,0.053062346
auto,20,110,1,uniform,TomekLinks,0.330918281,0.193198256,0.673776822,0.730011901,0.617541743,0.382458257,0.269988099,0.258873325,0.345705874,0.024980443,0.058504074,0.058504074
auto,20,110,2,uniform,NearMiss,0.360006842,0.208238201,0.688370535,0.795396869,0.581344201,0.418655799,0.204603131,0.40758888,0.359154617,0.113689993,0.063547865,0.063547865
auto,20,110,1,distance,TomekLinks,0.37112568,0.189871583,0.694728495,0.784085569,0.605371422,0.394628578,0.215914431,0.472139522,0.387314037,0.056739092,0.077272422,0.077272422
auto,20,110,2,distance,InstanceHardnessThreshold,0.401674021,0.257090509,0.704269455,0.895680674,0.512858236,0.487141764,0.104319326,0.794792639,0.37852693,0.325607288,0.054880527,0.054880527
auto,20,110,2,uniform,NeighbourhoodCleaningRule,0.350487158,0.254601669,0.673145631,0.895892459,0.450398802,0.549601198,0.104107541,0.768757057,0.267278876,0.324446127,0.036709695,0.036709695
auto,20,110,2,distance,NearMiss,0.363841002,0.203406748,0.690818677,0.78388599,0.597751365,0.402248635,0.21611401,0.512298209,0.394304388,0.110196751,0.083931154,0.083931154
auto,20,110,1,uniform,ADASYN,0.347001713,0.244057858,0.672730199,0.887014556,0.458445841,0.541554159,0.112985444,0.577666697,0.191906697,0.27184344,0.017352376,0.017352376
auto,20,110,2,uniform,OneSidedSelection,0.458395045,0.17846707,0.739826574,0.764722756,0.714930393,0.285069607,0.235277244,0.330112606,0.4482824,0.058751356,0.081507522,0.081507522
auto,20,110,2,distance,NeighbourhoodCleaningRule,0.376369256,0.262950755,0.6873455,0.905979432,0.468711569,0.531288431,0.094020568,0.808106442,0.310891059,0.331012525,0.056084714,0.056084714
auto,20,95,3,uniform,NeighbourhoodCleaningRule,0.438766962,0.219065292,0.727469434,0.877939516,0.576999352,0.423000648,0.122060484,0.728801001,0.406366703,0.255108217,0.061130947,0.061130947
auto,20,110,1,distance,ADASYN,0.342443189,0.247748464,0.670249247,0.886602582,0.453895913,0.546104087,0.113397418,0.725367268,0.211381465,0.280412177,0.042977204,0.042977204
auto,20,95,3,distance,NeighbourhoodCleaningRule,0.455680702,0.230146637,0.736985138,0.882573164,0.591397111,0.408602889,0.117426836,0.77098111,0.438017009,0.268131829,0.075257103,0.075257103
auto,20,110,1,uniform,RandomOverSampler,0.309077211,0.238723475,0.658702819,0.815980347,0.501425291,0.498574709,0.184019653,0.596230584,0.334387497,0.250139047,0.107143337,0.107143337
auto,20,110,2,uniform,RandomUnderSampler,0.361721493,0.234547502,0.681488559,0.888221185,0.474755932,0.525244068,0.111778815,0.627304465,0.196250873,0.198903609,0.017549513,0.017549513
auto,20,110,2,distance,OneSidedSelection,0.479119954,0.170191407,0.749350232,0.756035277,0.742665186,0.257334814,0.243964723,0.453175257,0.493380944,0.059281298,0.099471452,0.099471452
auto,20,110,1,distance,RandomOverSampler,0.346916385,0.234670982,0.675623256,0.866229058,0.485017454,0.514982546,0.133770942,0.70559187,0.331634828,0.255325914,0.071018951,0.071018951
auto,20,80,3,uniform,RandomOverSampler,0.462786207,0.181054625,0.742163992,0.766534224,0.71779376,0.28220624,0.233465776,0.549409503,0.565782926,0.124065242,0.146283988,0.146283988
auto,20,110,1,uniform,SMOTE,0.348899155,0.238556713,0.674598415,0.881964051,0.467232779,0.532767221,0.118035949,0.62709512,0.250550719,0.272688823,0.031462053,0.031462053
auto,20,110,2,uniform,TomekLinks,0.440181053,0.170210251,0.724107721,0.669879459,0.778335983,0.221664017,0.330120541,0.225988587,0.466168017,0.018737056,0.081303061,0.081303061
auto,20,110,2,distance,RandomUnderSampler,0.39016671,0.222658391,0.700390206,0.87066862,0.530111792,0.469888208,0.12933138,0.687436907,0.284745922,0.18778762,0.052052855,0.052052855
auto,20,110,1,distance,SMOTE,0.341363664,0.239600749,0.672075728,0.868237053,0.475914402,0.524085598,0.131762947,0.702564619,0.308451813,0.27131148,0.065568067,0.065568067
auto,20,110,1,uniform,SMOTEENN,0.303954987,0.205629484,0.659716642,0.69288657,0.626546715,0.373453285,0.30711343,0.366021545,0.46311101,0.06881251,0.168684427,0.168684427
auto,20,110,2,distance,TomekLinks,0.485338487,0.165796711,0.750741138,0.73605786,0.765424416,0.234575584,0.26394214,0.436832982,0.504706387,0.049755302,0.100883152,0.100883152
auto,20,80,3,distance,RandomOverSampler,0.486957458,0.179720881,0.755879736,0.813550002,0.69820947,0.30179053,0.186449998,0.654937899,0.556574558,0.139308216,0.121867008,0.121867008
