class_weight,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,splitter,Data balancer,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff
,gini,,auto,,3,2,best,TomekLinks,0.50652244,0.153645673,0.754124829,0.687043242,0.821206417,0.178793583,0.312956758,0.444745339,0.694609231,0.063514271,0.156366688,0.156366688
,gini,,auto,,3,3,random,TomekLinks,0.502413972,0.153334577,0.733864357,0.575070341,0.892658373,0.107341627,0.424929659,0.407526626,0.686032587,0.041600087,0.213464555,0.213464555
,gini,,auto,,2,2,best,ADASYN,0.525849553,0.17332446,0.77275135,0.77583875,0.76966395,0.23033605,0.22416125,0.654151179,0.638399744,0.156235059,0.134781653,0.134781653
,gini,,auto,,2,3,random,ADASYN,0.491482665,0.1762933,0.755721706,0.795038604,0.716404808,0.283595192,0.204961396,0.620456529,0.535736745,0.129986794,0.095648936,0.095648936
,gini,,auto,,2,2,random,ADASYN,0.491482665,0.1762933,0.755721706,0.795038604,0.716404808,0.283595192,0.204961396,0.620456529,0.535736745,0.129986794,0.095648936,0.095648936
,gini,,auto,,2,2,best,RandomOverSampler,0.518018943,0.171845893,0.766920285,0.754438646,0.779401923,0.220598077,0.245561354,0.604550642,0.668670183,0.130096483,0.157573927,0.157573927
,gini,,auto,,3,2,random,ADASYN,0.469860191,0.177637127,0.744420247,0.756860447,0.731980047,0.268019953,0.243139553,0.551460222,0.468512883,0.101514287,0.071028106,0.071028106
,gini,,auto,,2,3,random,RandomOverSampler,0.49558474,0.167051425,0.755644841,0.747991089,0.763298593,0.236701407,0.252008911,0.563163966,0.57775372,0.098870467,0.111781867,0.111781867
,gini,,auto,,2,2,random,RandomOverSampler,0.49558474,0.167051425,0.755644841,0.747991089,0.763298593,0.236701407,0.252008911,0.563163966,0.57775372,0.098870467,0.111781867,0.111781867
,gini,,auto,,3,2,random,RandomOverSampler,0.484142194,0.167566708,0.746870117,0.711488907,0.782251327,0.217748673,0.288511093,0.554465501,0.526207552,0.099077733,0.093020233,0.093020233
,gini,,auto,,2,3,best,ADASYN,0.525849553,0.17332446,0.77275135,0.77583875,0.76966395,0.23033605,0.22416125,0.654151179,0.638399744,0.156235059,0.134781653,0.134781653
,gini,,auto,,2,2,best,SMOTE,0.506972462,0.173655592,0.762124059,0.758291068,0.765957049,0.234042951,0.241708932,0.583551527,0.67852121,0.13348811,0.161212732,0.161212732
,gini,,auto,,2,3,random,SMOTE,0.493750272,0.165787091,0.753295457,0.734506393,0.772084521,0.227915479,0.265493607,0.570216973,0.552895248,0.098236388,0.11097989,0.11097989
,gini,,auto,,2,3,best,RandomOverSampler,0.518018943,0.171845893,0.766920285,0.754438646,0.779401923,0.220598077,0.245561354,0.604550642,0.668670183,0.130096483,0.157573927,0.157573927
,gini,,auto,,2,2,random,SMOTE,0.493750272,0.165787091,0.753295457,0.734506393,0.772084521,0.227915479,0.265493607,0.570216973,0.552895248,0.098236388,0.11097989,0.11097989
,gini,,auto,,3,2,random,SMOTE,0.475336667,0.165701294,0.744551704,0.726020324,0.763083083,0.236916917,0.273979676,0.557503128,0.519747142,0.093045314,0.101502029,0.101502029
,gini,,auto,,2,3,best,SMOTE,0.506972462,0.173655592,0.762124059,0.758291068,0.765957049,0.234042951,0.241708932,0.583551527,0.67852121,0.13348811,0.161212732,0.161212732
,gini,,auto,,3,3,best,ADASYN,0.516519744,0.171242102,0.769377716,0.798628582,0.74012685,0.25987315,0.201371418,0.628332265,0.605578856,0.140047274,0.127311789,0.127311789
,gini,,auto,,3,2,best,ADASYN,0.516519744,0.171242102,0.769377716,0.798628582,0.74012685,0.25987315,0.201371418,0.628332265,0.605578856,0.140047274,0.127311789,0.127311789
,gini,,auto,,3,3,best,RandomOverSampler,0.505571635,0.168154225,0.762812049,0.768979218,0.75664488,0.24335512,0.231020782,0.624283927,0.653119001,0.140679671,0.13902774,0.13902774
