C,class_weight,fit_intercept,intercept_scaling,solver,Data balancer,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff
1,,FALSE,1.733333333,liblinear,InstanceHardnessThreshold,0.463791892,0.227494659,0.742532308,0.872279899,0.612784717,0.387215283,0.127720101,0.826465867,0.555087861,0.309941706,0.105929384,0.105929384
1,,FALSE,0.1,liblinear,InstanceHardnessThreshold,0.463791892,0.227494659,0.742532308,0.872279899,0.612784717,0.387215283,0.127720101,0.826465867,0.555087861,0.309941706,0.105929384,0.105929384
1,,TRUE,5,liblinear,NearMiss,0.394525706,0.231278383,0.707431455,0.764713601,0.650149309,0.349850691,0.235286399,0.532072996,0.492746696,0.212874555,0.110160212,0.110160212
1,,FALSE,1.733333333,liblinear,NearMiss,0.424588205,0.209483495,0.722744547,0.759667979,0.685821115,0.314178885,0.240332021,0.521177943,0.532969272,0.176251209,0.113390094,0.113390094
1,,FALSE,1,liblinear,InstanceHardnessThreshold,0.463791892,0.227494659,0.742532308,0.872279899,0.612784717,0.387215283,0.127720101,0.826465867,0.555087861,0.309941706,0.105929384,0.105929384
1,,FALSE,0.1,liblinear,NearMiss,0.424588205,0.209483495,0.722744547,0.759667979,0.685821115,0.314178885,0.240332021,0.521177943,0.532969272,0.176251209,0.113390094,0.113390094
1,,FALSE,1,liblinear,NearMiss,0.424588205,0.209483495,0.722744547,0.759667979,0.685821115,0.314178885,0.240332021,0.521177943,0.532969272,0.176251209,0.113390094,0.113390094
1,,FALSE,1.733333333,liblinear,NeighbourhoodCleaningRule,0.505228266,0.179787665,0.765662359,0.85270408,0.678620637,0.321379363,0.14729592,0.714472215,0.522067782,0.190644258,0.063564955,0.063564955
1,,TRUE,5,liblinear,NeighbourhoodCleaningRule,0.50552331,0.179622859,0.765821478,0.85270469,0.678938266,0.321061734,0.14729531,0.714272636,0.522914679,0.190644426,0.063766975,0.063766975
1,,FALSE,0.1,liblinear,NeighbourhoodCleaningRule,0.505228266,0.179787665,0.765662359,0.85270408,0.678620637,0.321379363,0.14729592,0.714472215,0.522067782,0.190644258,0.063564955,0.063564955
