None,ANOVA_CHI2,Logistic regression,Bernoulli Naive Bayes,SVM (linear),Decision Tree,Random forest
0.6886012225818051,0.6901294498381877,0.6667565623876304,0.6886012225818051,0.6506652283351313,0.7037935994246673,0.7435275080906149
0.8361201006832075,0.8151743976986695,0.7944983818770226,0.8361201006832075,0.7944983818770226,0.7860481841064365,0.8193994965839626
0.6822186263933836,0.6861740381157857,0.6445523193096008,0.7080186983099604,0.6445523193096008,0.5240920532182668,0.6548903272204243
0.6886012225818051,0.6901294498381877,0.6667565623876304,0.6886012225818051,0.6506652283351313,0.7037935994246673,0.7435275080906149
0.8361201006832075,0.8151743976986695,0.7944983818770226,0.8361201006832075,0.7944983818770226,0.7860481841064365,0.8193994965839626
0.6822186263933836,0.6861740381157857,0.6445523193096008,0.7080186983099604,0.6445523193096008,0.5240920532182668,0.6548903272204243
0.6855465221318879,0.7030713640469738,0.6733514001806684,0.6767841011743451,0.6763324299909665,0.6782294489611562,0.6733514001806684
0.6886012225818051,0.6901294498381877,0.6667565623876304,0.6886012225818051,0.6506652283351313,0.7037935994246673,0.7435275080906149
0.8361201006832075,0.8151743976986695,0.7944983818770226,0.8361201006832075,0.7944983818770226,0.7860481841064365,0.8193994965839626
0.6822186263933836,0.6861740381157857,0.6445523193096008,0.7080186983099604,0.6445523193096008,0.5240920532182668,0.6548903272204243
0.6855465221318879,0.7030713640469738,0.6733514001806684,0.6767841011743451,0.6763324299909665,0.6782294489611562,0.6733514001806684
0.6838649155722326,0.6573170731707316,0.624296435272045,0.6838649155722326,0.6838649155722326,0.6838649155722326,0.6408067542213883
0.6548903272204243,0.6855447680690399,0.7468536497662711,0.7201546206400575,0.7468536497662711,0.6700827040632866,0.7216828478964401
0.6548903272204243,0.6855447680690399,0.7468536497662711,0.7201546206400575,0.7468536497662711,0.6700827040632866,0.7216828478964401
0.7651024811218986,0.8015102481121898,0.7168284789644013,0.7651024811218986,0.6731391585760518,0.6777238403451995,0.7280654440848615
0.6548903272204243,0.6855447680690399,0.7468536497662711,0.7201546206400575,0.7468536497662711,0.6700827040632866,0.7216828478964401
0.7651024811218986,0.8015102481121898,0.7168284789644013,0.7651024811218986,0.6731391585760518,0.6777238403451995,0.7280654440848615
0.6379000359582884,0.6548903272204243,0.5750629270046745,0.6379000359582884,0.6800611290902553,0.6418554476806904,0.676734987414599
0.6548903272204243,0.6855447680690399,0.7468536497662711,0.7201546206400575,0.7468536497662711,0.6700827040632866,0.7216828478964401
0.7651024811218986,0.8015102481121898,0.7168284789644013,0.7651024811218986,0.6731391585760518,0.6777238403451995,0.7280654440848615
0.6379000359582884,0.6548903272204243,0.5750629270046745,0.6379000359582884,0.6800611290902553,0.6418554476806904,0.676734987414599
0.6421860885275519,0.6899728997289973,0.709936766034327,0.6421860885275519,0.6421860885275519,0.6196928635953026,0.6850948509485095
0.6548903272204243,0.6855447680690399,0.7468536497662711,0.7201546206400575,0.7468536497662711,0.6700827040632866,0.7216828478964401
0.7651024811218986,0.8015102481121898,0.7168284789644013,0.7651024811218986,0.6731391585760518,0.6777238403451995,0.7280654440848615
0.6379000359582884,0.6548903272204243,0.5750629270046745,0.6379000359582884,0.6800611290902553,0.6418554476806904,0.676734987414599
0.6421860885275519,0.6899728997289973,0.709936766034327,0.6421860885275519,0.6421860885275519,0.6196928635953026,0.6850948509485095
0.6735459662288931,0.7076923076923077,0.6695121951219511,0.7122889305816136,0.5177298311444652,0.6735459662288931,0.7019699812382739
0.7168284789644013,0.7265372168284789,0.6910284070478245,0.7168284789644013,0.6998381877022654,0.6892304926285509,0.7402013664149587
0.7168284789644013,0.7265372168284789,0.6910284070478245,0.7168284789644013,0.6998381877022654,0.6892304926285509,0.7402013664149587
0.7732829917295936,0.7951276519237684,0.8169723121179432,0.7732829917295936,0.8169723121179432,0.7902732829917296,0.796655879180151
0.7168284789644013,0.7265372168284789,0.6910284070478245,0.7168284789644013,0.6998381877022654,0.6892304926285509,0.7402013664149587
0.7732829917295936,0.7951276519237684,0.8169723121179432,0.7732829917295936,0.8169723121179432,0.7902732829917296,0.796655879180151
