Data balancer,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
SMOTEENN,Decision Tree,0.21918135359275984,0.22880391578602194,0.6162698412698412,0.64856349206349195,0.12656434684518325,0.5844444444444445,0.6480952380952384,0.3519047619047619,0.4155555555555556,0.0863087873149159,0.021338328882967605,0.046781658345671946,0.06689730112423989,0.0792340877747202,0.1340904430359608,0.10035537760408736,
SMOTETomek,Decision Tree,0.2683493001517408,0.22948078586695825,0.6372222222222222,0.66680158730158723,0.1523819123179418,0.5344444444444445,0.74,0.26,0.46555555555555556,0.07494501491946574,0.018056757921710964,0.037862549944960036,0.036917205190163796,0.05326728850854301,0.08508528764034065,0.06519463272428506,
None,Extreme Learning Machine,0.37825397037103164,0.16754782923322276,0.6726190476190476,0.78199603174603172,0.3246357670736254,0.47000000000000003,0.8752380952380954,0.12476190476190475,0.5299999999999999,0.06797008535637843,0.012960114320822488,0.029940732587497576,0.034622886478131804,0.06485812499092333,0.04438885412319595,0.029377517743213667,
ClusterCentroids,Extreme Learning Machine,0.37620205568751497,0.20191236751040123,0.7029365079365079,0.76142063492063494,0.2982118462268931,0.711111111111111,0.6947619047619046,0.30523809523809514,0.28888888888888886,0.05894630620803254,0.014673558703707979,0.03200253517294514,0.03370218868331636,0.05482417268013703,0.05187830013301668,0.022956134844178955,
EditedNearestNeighbours,Extreme Learning Machine,0.40608153876816283,0.20022895647836828,0.7200000000000002,0.78921031746031745,0.3347639347386154,0.7566666666666667,0.6833333333333332,0.31666666666666665,0.24333333333333332,0.06337530657808713,0.015555349280629103,0.034602264441211956,0.03239396670852652,0.05865183200045826,0.06347936380926979,0.03158690276528953,
InstanceHardnessThreshold,Extreme Learning Machine,0.38951656407173652,0.24716448355928122,0.710873015873016,0.78460714285714273,0.3175351177244005,0.8522222222222223,0.5695238095238094,0.4304761904761905,0.14777777777777776,0.046379150767589215,0.02059262911107337,0.02581574145610963,0.032066670438098785,0.05988576600291489,0.030951973949298026,0.038017778392784904,
NearMiss,Extreme Learning Machine,0.35513044096549951,0.22201909263846789,0.6924603174603173,0.74100396825396819,0.2518471853408422,0.7211111111111111,0.6638095238095238,0.3361904761904761,0.27888888888888896,0.0635978376675459,0.01940286837711436,0.03417770317481664,0.03557430149961754,0.05259292875308537,0.04809969071536304,0.03890216812476211,
NeighbourhoodCleaningRule,Extreme Learning Machine,0.41561153178633814,0.18896147815510586,0.7225396825396826,0.7857023809523811,0.3303084159850103,0.718888888888889,0.726190476190476,0.2738095238095238,0.28111111111111114,0.06323116857298373,0.01538984495494017,0.03412181577696825,0.03250654187314091,0.05500068761807092,0.058012344365362734,0.029469997041458675,
OneSidedSelection,Extreme Learning Machine,0.32719986386857758,0.18636984760846509,0.6583333333333334,0.73676587301587315,0.25239889901365803,0.49333333333333335,0.8233333333333331,0.17666666666666667,0.5066666666666666,0.07940701491068902,0.015098934537870473,0.0383523072434954,0.0387041957767256,0.06662742137464128,0.06170419278628809,0.03454925170898486,
RandomUnderSampler,Extreme Learning Machine,0.38971711076785071,0.20300132697952986,0.7106349206349206,0.77017460317460307,0.3039109115063444,0.7322222222222222,0.689047619047619,0.3109523809523809,0.2677777777777778,0.05653749167150356,0.014475411303825195,0.030433584636419698,0.03340065103473231,0.062074083260841344,0.04886362983843561,0.0322476246730229,
